Poisson inverse Gaussian,1,30,0.1,2.2,10000,NA
Poisson inverse Gaussian,1,30,2.3,0.7,10000,NA
Poisson inverse Gaussian,1,100,-3,3,10000,NA
Poisson inverse Gaussian,1,100,0.1,2.2,10000,NA
Poisson inverse Gaussian,1,100,2.3,0.7,10000,NA
Poisson inverse Gaussian,1,1000,-3,3,10000,NA
Poisson inverse Gaussian,1,1000,0.1,2.2,10000,NA
Poisson inverse Gaussian,1,1000,2.3,0.7,10000,NA
Poisson inverse Gaussian,2,30,-3,3,10000,0.554283458
Poisson inverse Gaussian,2,30,0.1,2.2,10000,0.8408
Poisson inverse Gaussian,2,30,2.3,0.7,10000,0.9105
Poisson inverse Gaussian,2,100,-3,3,10000,0.564297341
Poisson inverse Gaussian,2,100,0.1,2.2,10000,0.8968
Poisson inverse Gaussian,2,100,2.3,0.7,10000,0.9347
Poisson inverse Gaussian,2,1000,-3,3,10000,0.828142213
Poisson inverse Gaussian,2,1000,0.1,2.2,10000,0.9378
Poisson inverse Gaussian,2,1000,2.3,0.7,10000,0.9479
Poisson inverse Gaussian,3,30,-3,3,10000,0.37232906
Poisson inverse Gaussian,3,30,0.1,2.2,10000,0.728959775
Poisson inverse Gaussian,3,30,2.3,0.7,10000,0.8813
Poisson inverse Gaussian,3,100,-3,3,10000,0.404139434
Poisson inverse Gaussian,3,100,0.1,2.2,10000,0.843968794
Poisson inverse Gaussian,3,100,2.3,0.7,10000,0.912
Poisson inverse Gaussian,3,1000,-3,3,10000,0.757701242
Poisson inverse Gaussian,3,1000,0.1,2.2,10000,0.9289
Poisson inverse Gaussian,3,1000,2.3,0.7,10000,0.9504
Poisson inverse Gaussian,5,30,-3,3,10000,0.206355932
Poisson inverse Gaussian,5,30,0.1,2.2,10000,0.563533641
Poisson inverse Gaussian,5,30,2.3,0.7,10000,0.821364273
Poisson inverse Gaussian,5,100,-3,3,10000,0.247240934
Poisson inverse Gaussian,5,100,0.1,2.2,10000,0.750025068
Poisson inverse Gaussian,5,100,2.3,0.7,10000,0.8868
Poisson inverse Gaussian,5,1000,-3,3,10000,0.634456453
Poisson inverse Gaussian,5,1000,0.1,2.2,10000,0.9052
Poisson inverse Gaussian,5,1000,2.3,0.7,10000,0.9358
